distance_normalized,displacement_normalized,variance_normalized,velocity_normalized,efficiency_normalized,amplify_normalized
0.0021245420130378175,0.23100081385886642,0.07735962427466542,-0.4169048969964303,0.2841021287852945,0.7424288609955503
-0.15258098467072428,0.018494706090134268,-0.07707048680211004,-0.07330377436571162,0.3593204480398327,0.054428626104816524
-0.2657289169515396,-0.18049707630814985,0.06600627369149256,-0.2517953955152255,0.22578356445034745,-0.1878515372092129
-0.2617228288974318,-0.12384801968496038,-0.14365430038421098,0.14113227241456827,0.47698514667838676,0.35793954827875973
-0.28043917771535354,-0.25597487033529276,-0.08895524896724162,-0.5271267205186353,-0.0507580212252909,0.294114597325854
-0.24527923773883206,-0.10408776744856135,-0.1936512085324461,-0.17270402741036175,0.4480905541898357,-0.09098394237699543
-0.09056778685011864,0.08107870864345841,0.1216711460890937,0.0850239023394506,0.24110617422316644,0.4503604643459862
-0.24889933273152529,-0.12008314798112582,-0.195294007672202,-0.10494078540539997,0.39806524905443574,0.26036136466840243
-0.2941391586512434,-0.24455485638985236,-0.17988986250196695,-0.4738293018941321,0.10803672890456785,-0.2030653807378545
-0.18907016475179333,-0.025333013522921933,-0.19525899687874426,-0.28558529980026004,0.41012711839574073,0.3810400449993056
-0.229017971426678,-0.2389921720777112,-0.1655831542343206,-0.36084338262295385,-0.29757859174663465,-0.07124500503214283
-0.3251758519816755,-0.2387613597183313,-0.15731161327837534,-0.3324605175509377,0.3900242018063534,-0.1689322002336802
-0.35195712667792695,-0.28949889871609813,-0.18623255535283206,-0.1871783002719553,0.33214028097868614,-0.20221964983895613
-0.32734873674291476,-0.23010989456351183,-0.12111049487678154,-0.3583058799970905,0.4579659075247235,-0.17154645150494668
-0.32703659335965996,-0.2371861887212044,-0.19601849843903243,-0.17390681189377835,0.4151185428966282,0.04511855203236645
-0.15721141359367002,0.02162427154600919,-0.19144446952209682,-0.30690284951583213,0.4012095243135128,-0.10689760090187213
-0.06799943340915054,0.1268625735400316,-0.18144482720804897,-0.47113821242790543,0.2860115346860706,0.20812299342216328
-0.4109392956566112,-0.3623707415731348,-0.19257067389344398,-0.22798420830626387,0.4453989648863944,0.3258832650391397
-0.24453167881724042,-0.10261771764201698,0.07336285569277326,-0.3205307625147817,0.4495573582867469,0.2680850351231341
-0.20206589567991343,-0.08072470517194481,0.38840277939274603,-0.17225773978582712,0.253288187695904,-0.19917513857012117
-0.2710803676040349,-0.18353145193220402,-0.17165718886780731,-0.4685971281274912,0.2501331613563979,0.34758431352818686
-0.2672374251209826,-0.15289662743930843,-0.19149927629680555,-0.3032597295862296,0.3749354043840559,-0.007819081786797076
-0.02144889743233533,0.22917098171553485,-0.18095766804274452,-0.19461769866829648,0.39676584338605086,0.3513847163369244
-0.2710803676040349,-0.18353145193220402,-0.17165718886780731,-0.4685971281274912,0.2501331613563979,0.34758431352818686
-0.3198692251081951,-0.16394075829103286,-0.19372305462071368,-0.1365440612279389,0.7618635414580524,-0.20178747436168543
-0.20617245175771548,-0.16728153895047987,0.3104214081165939,-0.29428211829214046,-0.10629717612116245,-0.029615578168503253
-0.3450623800588775,-0.20224545403032856,-0.19193918783026834,-0.12735902919222583,0.7855140940501227,0.02703460414203416
-0.11866572285958267,0.042557207210991835,-0.1795093518747431,0.01493961048785387,0.252521334505963,0.7444826219794682
-0.2254032596156528,-0.08328774396075972,-0.18533437463719238,0.0992090058688932,0.40119557453552357,-0.1848769331564565
-0.2587520159469329,-0.14552563363005527,0.2890565885241109,-0.36400639570365206,0.3474003579823798,0.26691391216688665
-0.19352992788004672,-0.09408487494703639,-0.12313360542419648,-0.11135226966313805,0.13963473889723724,0.24257735776345116
-0.1711708151938647,-0.03818512996364016,-0.1714615818094119,0.1333319187607696,0.2398027763256818,-0.1545271022935674
0.008612763737074487,0.16499125293323666,-0.08779296074771842,-0.5206331670215814,0.03820786902378326,0.36500814217419564
-0.07026794403569939,0.0705935445331769,0.4860175345240184,-0.2442692324128858,0.09508524856622896,0.6361207296517609
-0.2710803676040349,-0.18353145193220402,-0.17165718886780731,-0.4685971281274912,0.2501331613563979,0.34758431352818686
