distance_normalized,displacement_normalized,variance_normalized,velocity_normalized,efficiency_normalized
-0.4241673690337109,-0.5159482958970724,-0.1943673062155087,0.07578612361880624,-0.5147287109970711
-0.7489193824100231,-0.9042502644628215,-0.1967765648130182,-0.5925870516744699,-0.9556469088561435
-0.549561336279086,-0.7213328744291655,-0.10941890521383522,-0.12377622348385466,-1.1563833887978954
-0.7586550395841535,-0.9110674538035857,-0.07631145774331015,-0.5732129788874326,-0.5652088847945674
-0.7608960305203778,-0.912693465813502,-0.18497818566068833,-0.5643044914749952,-0.4216703343607509
-0.7450156924801724,-0.8948802340829661,-0.15650476397306554,-0.596250915436147,-0.5374681701781369
-0.7690113797687038,-0.9243616831062834,0.24050701340853928,-0.6141721034389601,-0.9186714050182769
0.012892474316671738,-0.26972073695653015,-0.10247716680848826,-0.37651881183239616,-1.3856364077559646
-0.7066052386310757,-0.85769548069284,-0.1544383486548099,-0.5899344042918034,-0.8158419977607789
-0.7554857995817419,-0.9067700355851692,-0.18497818566068833,-0.525583013681883,-0.49558719607698204
-0.7640830517940157,-0.9211366671641825,-0.1967765648130182,-0.5757409226987188,-1.2456985678478572
-0.37584438667873293,-0.4450976261282657,-0.03675068071706239,-0.45684607148232315,-0.42691461061701913
-0.7674267596322423,-0.920451595684423,-0.1967765648130182,-0.569063591171646,-0.37758817935112443
-0.6350229160131482,-0.7614898159901156,-0.1676972022835135,-0.565248177618875,-0.4559900827779462
-0.7640830517940157,-0.920451595684423,-0.1967765648130182,-0.591544219965356,-1.1220671622237879
-0.7487806031750857,-0.9008297138838198,-0.19284377176224157,-0.5120525758085659,-0.6710552102106344
-0.5544276513535163,-0.6609279647402939,-0.11793099844565398,-0.3198439594501806,-0.4148928656224162
-0.7701318760483509,-0.9278312242602136,-0.1967765648130182,-0.6062348160972693,-1.6507701032056488
-0.1474172690975069,-0.2540057756509453,-0.042668370151738196,-0.31259828180634547,-0.7767042661924002
-0.7403755954711556,-0.8871723656606687,0.023727382929896634,-0.49990135038309325,-0.38403080821567
-0.7125365201668982,-0.8549354601657218,-0.13636886355308922,-0.5164970762884254,-0.46337506630885383
-0.7311397518367639,-0.8809049643421586,-0.19157617718825012,-0.5477948122911593,-0.6609911648641281
-0.7623239640922507,-0.9149218970223637,-0.14084350739169854,-0.5077055303410781,-0.5005423819886755
-0.6442092857734056,-0.7674896902006335,-0.09889371275259158,-0.4371740410496691,-0.35964430957004495
-0.7701318760483509,-0.9243616831062834,-0.1967765648130182,-0.6051164059539593,-0.5579492194691491
-0.41412043140846255,-0.6117124267232246,-0.11910905559219359,-0.3773227827794795,-1.2702157509346057
-0.7510038139221301,-0.899765836435219,-0.18167463949803597,-0.5386018325955796,-0.3378283546245728
-0.7593114103839163,-0.9110674538035857,-0.1967765648130182,-0.5917474507661494,-0.46239715403950027
-0.7511960611355902,-0.9163953636965966,-0.1967765648130182,-0.5581183263761949,-1.8865020423434529
-0.7264893510393181,-0.8948802340829661,-0.19221060089052297,-0.6101586369498366,-1.6090704518182821
-0.2819845836727123,-0.4701167168754776,-0.05138670534360856,-0.43870154237469255,-1.1429159117401742
-0.7615775467297865,-0.9169150664888422,-0.1967765648130182,-0.606204788650012,-0.9418819443693945
0.030181793071603586,-0.09442452320290812,-0.03295010502241845,-0.29277666076385256,-0.8772616055224467
-0.7575345438455295,-0.9091855187330479,-0.18497818566068833,-0.57936312840809,-0.4934149041802196
-0.7546905197014537,-0.9149218970223637,-0.1967765648130182,-0.6052778899360916,-1.482630096372184
-0.6218011726084621,-0.7981178837176771,-0.1344625538130479,-0.500446775060737,-1.31434785917254
-0.7552179389542188,-0.912693465813502,-0.18279330077231173,-0.5985906447704078,-1.1883674672113846
-0.7548472054545076,-0.9054821109384438,-0.15482677017391125,-0.5868302776670805,-0.4377430340465334
-0.7690113797687038,-0.9253582678395228,-0.1967765648130182,-0.6077534434123303,-1.1944888470565604
-0.7374148969509366,-0.8948802340829661,-0.19329386828583553,-0.5622234613012643,-1.094750536946979
-0.7667703888324795,-0.921860979330224,-0.1817738698445525,-0.5924049746268695,-0.8718489986130402
-0.7564318274845506,-0.9067700355851692,-0.1859613839233825,-0.5600746957259064,-0.3639451621806782
-0.7701318760483509,-0.9278312242602136,-0.1967765648130182,-0.5576331849095857,-1.6507701032056488
-0.7562732779062861,-0.9169150664888422,-0.1967765648130182,-0.5864336789509759,-1.5669272810862156
-0.7690113797687038,-0.9243616831062834,-0.1810453926099117,-0.6152616224310711,-0.9186714050182769
-0.19421759552418572,-0.43728307847269393,-0.1921954920434922,0.45945666074539576,-1.358127178207735
-0.093977315580982,-0.35441080705656364,0.01591213028692442,-0.05361022945694778,-1.3668981584037918
-0.7554857995817419,-0.9054821109384438,-0.18803702400101804,-0.5857903341874107,-0.3509516132982645
-0.7279093721456739,-0.8733573461200751,-0.056943918113484614,-0.5480215681468814,-0.4619219647686482
-0.7554857995817419,-0.909920489470245,-0.18279330077231173,-0.6119358698664489,-0.8493871911651546
-0.7636011469364865,-0.9185802714907305,-0.1810453926099117,-0.5325737423991801,-0.8747406412474247
-0.7642826631458952,-0.9163953636965966,-0.19502865677646755,-0.539074442334374,-0.34515873797376173
-0.7264893510393181,-0.8948802340829661,-0.19221060089052297,-0.6101586369498366,-1.6090704518182821
-0.7690113797687038,-0.9278312242602136,-0.1967765648130182,-0.6146591335848379,-1.8789108449834724
-0.7582338394325833,-0.9185802714907305,0.13440504546740453,-0.6051062763847012,-1.5871794017809229
-0.7538477109257345,-0.9122754449680468,-0.18279330077231173,-0.6079500564750514,-1.2761465519216888
-0.753262586129581,-0.9067700355851692,-0.19382697002493574,-0.5923293268147962,-0.7657103765263285
-0.7674267596322423,-0.9243616831062834,-0.1967765648130182,-0.5900625004099684,-1.3012748432931402
-0.5788830669551976,-0.7483390992449119,-0.16236462561872272,-0.5220029626839705,-1.1533555921457272
-0.7588724303136779,-0.912693465813502,-0.1967765648130182,-0.5902574643662312,-0.7464505206624922
-0.7147308240399203,-0.8797386019801352,-0.09059115244204931,-0.5138423417353407,-1.3555600486623072
-0.6526267721793632,-0.7860454455532947,-0.1967765648130182,-0.45561964562938884,-0.5246977973362864
-0.7593114103839163,-0.912693465813502,-0.1967765648130182,-0.5972803483795865,-0.6818917874144599
-0.7381247654855025,-0.9071017221786428,0.009097751451733794,-0.5941504828427616,-1.8302539114039693
-0.3697074784236563,-0.6430008954573656,-0.18839459920841667,-0.4806428267640439,-1.7117808704668607
-0.29586415728746757,-0.531307764317839,-0.10942987298709522,-0.3500118648786277,-1.3984464992852732
-0.3152312218592843,-0.4338313286945156,-0.16178764020164474,-0.3569285386645018,-0.7711046464396664
-0.7569137312600333,-0.912693465813502,-0.17077462668917778,-0.6118938387234819,-1.0021323819697934
-0.7385630403318912,-0.8903374300339592,-0.1827354522181458,-0.5520386836072898,-0.7316466193777105
-0.2902925642610294,-0.5330161211325363,0.03209150246350409,-0.09667922758187508,-1.4317486036237255
-0.7674267596322423,-0.920451595684423,-0.1967765648130182,-0.610053342352947,-0.37758817935112443
-0.643863020051678,-0.8323951411076168,-0.1611993547689498,-0.5365993418665371,-1.602390470111974
-0.6949740658074318,-0.8334551666771124,-0.1966467334604058,-0.25408405207630824,-0.45104056155534694
-0.7411649376209104,-0.8889252384481974,-0.13778466905136882,-0.5790852193455542,-0.4378664615998821
-0.7647216432161336,-0.9185802714907305,-0.1967765648130182,-0.6128515138793768,-0.6546679850768777
-0.7378034490524807,-0.8922235244428108,-0.18497818566068833,-0.45671976259885605,-0.903432547964994
-0.7532448067519362,-0.9030677523650654,-0.08838482407821921,-0.557615716509005,-0.389171836259057
-0.7690113797687038,-0.9243616831062834,-0.10238953159437919,-0.560787827241612,-0.9186714050182769
-0.719627228124247,-0.8733573461200751,-0.18810694088125132,-0.5587681303935118,-0.8955731463602531
-0.7636011469364865,-0.9169150664888422,-0.1967765648130182,-0.5351854777720032,-0.5841172872556012
-0.7597755345112424,-0.9110674538035857,-0.13636886355308922,-0.531801237284743,-0.3852883792428488
-0.7640830517940157,-0.9163953636965966,-0.17575962562112848,-0.5643274302283696,-0.3900593688642178
-0.6718392528735813,-0.8442477952403594,-0.1744907379447819,-0.07720400226103231,-1.379989264403689
-0.043642429942687445,-0.33902003168449313,0.4469187757329071,-0.45368594495988007,-1.4616450972195758
-0.7575523234936862,-0.9091855187330479,-0.1859613839233825,-0.6134589115046725,-0.4908050019848244
-0.5581511899979616,-0.6858745134315515,-0.19617058816698835,-0.46353206894092414,-0.6518935817877644
-0.7252905408278898,-0.8989892582029899,-0.1233644320601671,-0.6094411635124892,-1.850920181970766
-0.7575345438455295,-0.9091855187330479,-0.18497818566068833,-0.57936312840809,-0.4934149041802196
-0.7417857510179418,-0.8937518486728626,-0.17251908154465576,-0.5814456065747732,-0.7235670001049349
-0.6143865080244695,-0.7751119546460692,-0.0885844652384144,-0.3594627356101876,-1.0557824577945967
-0.7624806509273511,-0.9185802714907305,-0.14391982621058036,-0.5878340059860473,-1.0635330819117574
-0.7277347758168289,-0.8751531182622154,-0.1960391661159976,-0.5027614575267925,-0.5634045437479029
-0.4627896416135382,-0.6006157980093962,-0.06585545726988465,-0.5097635927503654,-0.8314647207481969
-0.7469566135087303,-0.8977320972088612,-0.18906978395098498,-0.4817304805489555,-0.5847365310111303
-0.7459365790310097,-0.9071017221786428,-0.19425957726052115,-0.4835522382036332,-1.4190000611430336
-0.7701318760483509,-0.9253582678395228,-0.1890715008511192,-0.6040668210502375,-0.8718491159045038
-0.6854424258082878,-0.8229894772915785,-0.17616872922694868,-0.5956751371827794,-0.47913960499524716
-0.7701318760483509,-0.9278312242602136,-0.1967765648130182,-0.6141018767150896,-1.6507701032056488
-0.7586550395841535,-0.909920489470245,-0.1967765648130182,-0.541898707702182,-0.41556768506440084
-0.13937414645749105,-0.21775775972378175,0.058501850133847115,-0.15957882228841355,-0.666354119093819
-0.7403755954711556,-0.8989892582029899,-0.1927759247267221,-0.6158465922282292,-1.181609325591312
-0.7448160846449443,-0.8920097546802761,-0.16783120795930223,-0.5313249789403156,-0.33586701811752545
-0.7311397518367639,-0.8829666653842003,-0.18374598559490699,-0.5525611986844478,-0.7728628127860753
-0.7701318760483509,-0.9243616831062834,-0.1967765648130182,-0.6086405089088397,-0.5579492194691491
-0.7667703888324795,-0.921860979330224,-0.1967765648130182,-0.5979802897389888,-0.8718489986130402
-0.7636011469364865,-0.9163953636965966,-0.18497818566068833,-0.5980242235842883,-0.4934150803861249
-0.6748238267512889,-0.8229894772915785,-0.1920191635366317,-0.27098268290906946,-0.7925034590793356
-0.7651857673434597,-0.921860979330224,-0.1624785633527554,-0.5641033693284603,-1.1944888376774148
-0.7690113797687038,-0.9243616831062834,-0.1810453926099117,-0.6135382004716461,-0.9186714050182769
-0.7011912240461087,-0.8763814921049052,-0.18188314674688483,-0.5822109831250871,-1.6264897772267246
-0.7640830517940157,-0.9169150664888422,-0.1967765648130182,-0.5979231550599622,-0.48384751887543864
-0.4031149898834943,-0.47455805910258875,-0.06887590525756991,-0.5177010908496776,-0.4019841022118405
-0.749086178535682,-0.9067700355851692,-0.05519601498505968,-0.6038390100159085,-1.1617876484063874
-0.7608960305203778,-0.9122754449680468,-0.19173364055878123,-0.5850765654380039,-0.3600884872077872
-0.3899805405855562,-0.5957305841136873,-0.161994260968323,-0.5287188643294102,-1.3055764444273146
-0.6071525614477713,-0.7520763927105177,-0.18931173598656106,-0.22584986422290476,-0.8162972335213781
-0.7268001662104127,-0.8771627526866844,0.11085525415047437,-0.5122999223864235,-0.7171680413189675
-0.7508630450740688,-0.9042502644628215,-0.1967765648130182,-0.6029429256040166,-0.7728367294793324
-0.1339385396332906,-0.23947969458710322,-0.14215599055094813,-0.40884871153515684,-0.776699833510006
-0.5785803806589336,-0.6935037460861597,-0.07791882487174141,-0.5030714069843231,-0.45495757513122154
-0.7656676727420122,-0.9243616831062834,-0.19168817306638603,-0.5397994578533937,-1.613108119005964
-0.7623239640922507,-0.9185802714907305,-0.17412367684054483,-0.5278974356794898,-1.0878157346633572
-0.06735355981364055,-0.23426300213431106,-0.18530300479207873,-0.4597730306927986,-1.01594405265826
0.022421084585429442,-0.17548634930483326,0.12706010453355415,-0.16869152467833667,-1.1103272853112216
-0.7539011775516989,-0.909920489470245,-0.1967765648130182,-0.600495723409686,-1.023942899352493
-0.7647216432161336,-0.9169150664888422,-0.19129455459723566,-0.47726141527466476,-0.3399685961323813
-0.7009797136986495,-0.8374416420394695,-0.1910393301716718,-0.512555243909571,-0.34350913523741317
-0.7212653140751379,-0.8827916741479092,-0.16908970173555077,-0.5881032297092972,-1.243016188753479
-0.636111738896214,-0.7742160293078459,-0.17559946529843487,-0.4631480334770566,-0.6612979373547747
-0.7568959513413651,-0.9158907344002344,-0.1967765648130182,-0.5685029703721315,-1.3870098679131562
-0.7690113797687038,-0.9243616831062834,-0.1967765648130182,-0.612905132686107,-0.9186714050182769
-0.690714765331194,-0.8295356239682886,-0.1865294541705495,-0.5206468727499417,-0.4864634891250339
-0.7656676727420122,-0.9243616831062834,-0.1967765648130182,-0.6013430203238979,-1.613108119005964
-0.7554857995817419,-0.9163953636965966,-0.1967765648130182,-0.5528196586724788,-1.5765238365646674
-0.1789830561477657,-0.3412715783306332,-0.14243945683534479,-0.4334621466268509,-1.0038393286649023
-0.7701318760483509,-0.9253582678395228,-0.19547646793828852,-0.6066324730371129,-0.8718491159045038
-0.5179359825653446,-0.6284130822675508,0.27199720198955174,-0.2474047660089306,-0.532477625580335
-0.09352772523262474,-0.372074705897499,-0.05757274340619384,-0.4761293283602097,-1.4342606638052264
-0.7539011775516989,-0.9042502644628215,-0.1967765648130182,-0.5305958777897125,-0.4286153494277351
-0.7701318760483509,-0.9253582678395228,-0.18279330077231173,-0.6013951503862184,-0.8718491159045038
-0.7701318760483509,-0.9253582678395228,-0.18279330077231173,-0.5459897897109653,-0.8718491159045038
-0.7624806509273511,-0.9163953636965966,-0.1497772621094838,-0.6032975078441949,-0.7093074959161266
-0.7647216432161336,-0.920451595684423,-0.1967765648130182,-0.6014345287520145,-1.0083208864339226
-0.7457858283033729,-0.8979799996102656,-0.1967765648130182,-0.6067042395262563,-0.7105292974259161
-0.7701318760483509,-0.9278312242602136,-0.14749532658581113,-0.5840292910700943,-1.6507701032056488
-0.2632567651611862,-0.5035294336382738,1.2537283126393575,-0.3947945300975115,-1.395611480112077
-0.7667881682101243,-0.920451595684423,-0.19284377176224157,-0.6172018718018475,-0.5533358405024826
-0.5846010067797472,-0.7281960804341137,-0.1468836168084589,-0.48320197223271083,-0.8172530505377192
