"id","user_id","time","X","Y","tagName","tagId"
14,1,1676932064953,1395,91,NULL,NULL
15,1,1676932066785,958,354,NULL,NULL
17,1,1676932081737,945,523,NULL,NULL
18,1,1676932090128,490,604,NULL,NULL
34,1,1676932122978,768,605,NULL,NULL
91,2,1676960368189,338,130,NULL,NULL
92,2,1676960372188,620,317,NULL,NULL
93,2,1676960373518,863,329,NULL,NULL
94,2,1676960376125,524,538,NULL,NULL
95,2,1676960379371,435,142,NULL,NULL
96,2,1676960380339,698,125,NULL,NULL
97,2,1676960383099,486,134,NULL,NULL
98,2,1676960386115,1090,226,NULL,NULL
99,2,1676960385795,1090,226,NULL,NULL
100,2,1676960386753,1090,226,NULL,NULL
101,2,1676960387091,1090,226,NULL,NULL
102,2,1676960387587,1086,230,NULL,NULL
103,2,1676960391073,1205,38,NULL,NULL
104,2,1676960392137,1183,204,NULL,NULL
105,2,1676960393250,713,518,NULL,NULL
106,2,1676960398221,641,584,NULL,NULL
107,2,1676960427091,851,743,NULL,NULL
108,2,1676960434403,467,147,NULL,NULL
109,2,1676960687369,1277,35,NULL,NULL
110,2,1676960688384,1218,112,NULL,NULL
111,2,1676960689587,656,349,NULL,NULL
112,2,1676960695367,664,398,NULL,NULL
113,2,1676960698330,704,503,NULL,NULL
114,3,1676939390915,880,25,NULL,NULL
115,3,1676939414598,356,127,NULL,NULL
116,3,1676939416755,176,127,NULL,NULL
117,3,1676939468310,296,154,NULL,NULL
118,3,1676939468614,288,145,NULL,NULL
119,3,1676939471562,169,148,NULL,NULL
120,3,1676939484426,288,157,NULL,NULL
121,3,1676939484794,286,151,NULL,NULL
122,3,1676939485963,132,136,NULL,NULL
123,3,1676939489155,167,140,NULL,NULL
124,3,1676939493210,612,331,NULL,NULL
125,3,1676939495082,628,211,NULL,NULL
126,3,1676939494683,281,220,NULL,NULL
127,3,1676939496730,1018,30,NULL,NULL
128,3,1676939503186,996,198,NULL,NULL
129,3,1676939503426,997,209,NULL,NULL
130,3,1676939504010,998,212,NULL,NULL
131,3,1676939504194,998,212,NULL,NULL
132,3,1676939504370,998,212,NULL,NULL
133,3,1676939505306,943,133,NULL,NULL
134,3,1676939504538,998,212,NULL,NULL
135,3,1676939505922,922,63,NULL,NULL
136,3,1676939507418,863,129,NULL,NULL
137,3,1676939512378,588,503,NULL,NULL
138,3,1676939518675,500,225,NULL,NULL
139,3,1676939527571,1004,298,NULL,NULL
140,3,1676939528563,1001,191,NULL,NULL
141,3,1676939532752,492,279,NULL,NULL
142,3,1676939533795,992,293,NULL,NULL
143,3,1676939536032,502,273,NULL,NULL
144,3,1676939537687,495,176,NULL,NULL
145,3,1676939543992,503,269,NULL,NULL
146,3,1676939547095,884,48,NULL,NULL
147,3,1676939563911,784,170,NULL,NULL
