duration,interArrivalTime,Type
112,224.0,Human
112,186.0,Human
111,75.0,Human
187,187.0,Human
112,36.0,Human
150,233.0,Human
113,138.0,Human
111,111.0,Human
149,75.0,Human
295,1295.0,Human
74,3042.0,Human
148,570.0,Human
262,2696.0,Human
186,974.0,Human
114,1199.0,Human
111,111.0,Human
112,1658.0,Human
150,4409.0,Human
149,2385.0,Human
185,1902.0,Human
187,4297.0,Human
187,731.0,Human
110,773.0,Human
150,1252.0,Human
148,810.0,Human
151,167.0,Human
187,1836.0,Human
187,2152.0,Human
150,299.0,Human
188,807.0,Human
111,1525.0,Human
150,1192.0,Human
186,261.0,Human
113,669.0,Human
111,237.0,Human
150,4113.0,Human
103,126.0,Human
110,491.0,Human
118,125.0,Human
72,89.0,Human
117,2199.0,Human
108,159.0,Human
100,102.0,Human
67,99.0,Human
118,107.0,Human
45,490.0,Human
48,129.0,Human
45,88.0,Human
97,61.0,Human
91,179.0,Human
126,151.0,Human
98,80.0,Human
112,176.0,Human
119,129.0,Human
100,303.0,Human
59,61.0,Human
106,134.0,Human
68,49.0,Human
67,134.0,Human
71,163.0,Human
91,281.0,Human
117,153.0,Human
74,355.0,Human
104,162.0,Human
64,66.0,Human
10,111.0,Human
100,208.0,Human
76,441.0,Human
72,94.0,Human
109,180.0,Human
49,230.0,Human
105,70.0,Human
103,126.0,Human
108,430.0,Human
115,126.0,Human
115,1694.0,Human
73,102.0,Human
75,139.0,Human
136,297.0,Human
44,53.0,Human
101,4667.0,Human
52,54.0,Human
109,142.0,Human
76,58.0,Human
51,119.0,Human
111,75.0,Human
150,110.0,Human
150,151.0,Human
149,74.0,Human
262,262.0,Human
151,1.0,Human
638,946.0,Human
111,248.0,Human
148,195.0,Human
150,112.0,Human
149,111.0,Human
111,259.0,Human
185,340.0,Human
151,286.0,Human
150,113.0,Human
112,37.0,Human
223,1997.0,Human
187,148.0,Human
150,150.0,Human
151,208.0,Human
114,128.0,Human
185,315.0,Human
149,112.0,Human
225,341.0,Human
112,37.0,Human
186,288.0,Human
111,112.0,Human
150,111.0,Human
150,74.0,Human
158,176.0,Human
74,168.0,Human
113,122.0,Human
74,75.0,Human
36,36.0,Human
150,1292.0,Human
149,149.0,Human
150,150.0,Human
76,36.0,Human
474,123.0,Human
634,13.0,Human
114,220.0,Human
149,149.0,Human
151,76.0,Human
149,153.0,Human
76,250.0,Human
260,2198.0,Human
149,39.0,Human
148,264.0,Human
76,300.0,Human
74,149.0,Human
151,241.0,Human
187,312.0,Human
148,1966.0,Human
76,36.0,Human
112,193.0,Human
112,74.0,Human
112,228.0,Human
74,357.0,Human
149,193.0,Human
149,37.0,Human
74,74.0,Human
149,221.0,Human
148,153.0,Human
150,112.0,Human
188,113.0,Human
227,437.0,Human
149,149.0,Human
151,191.0,Human
149,150.0,Human
186,237.0,Human
150,75.0,Human
74,37.0,Human
189,266.0,Human
150,38.0,Human
149,112.0,Human
112,37.0,Human
75,74.0,Human
149,162.0,Human
188,221.0,Human
113,75.0,Human
148,149.0,Human
113,187.0,Human
262,38.0,Human
186,299.0,Human
150,112.0,Human
149,112.0,Human
150,196.0,Human
148,149.0,Human
112,37.0,Human
150,616.0,Human
75,36.0,Human
152,260.0,Human
73,74.0,Human
148,232.0,Human
112,38.0,Human
73,74.0,Human
148,250.0,Human
149,150.0,Human
150,75.0,Human
75,208.0,Human
112,112.0,Human
112,211.0,Human
186,191.0,Human
113,38.0,Human
149,178.0,Human
150,113.0,Human
113,74.0,Human
111,212.0,Human
114,175.0,Human
138,1076.0,Human
110,145.0,Human
260,283.0,Human
150,37.0,Human
187,150.0,Human
150,112.0,Human
192,154.0,Human
113,348.0,Human
260,304.0,Human
149,37.0,Human
112,191.0,Human
186,270.0,Human
152,562.0,Human
149,262.0,Human
112,74.0,Human
110,171.0,Human
113,236.0,Human
113,337.0,Human
148,179.0,Human
150,157.0,Human
151,112.0,Human
223,226.0,Human
225,149.0,Human
186,37.0,Human
149,75.0,Human
75,76.0,Human
111,111.0,Human
151,199.0,Human
149,224.0,Human
300,1.0,Human
112,74.0,Human
150,240.0,Human
187,238.0,Human
188,444.0,Human
111,491.0,Human
75,225.0,Human
113,253.0,Human
112,204.0,Human
186,187.0,Human
112,36.0,Human
112,404.0,Human
151,112.0,Human
150,112.0,Human
150,112.0,Human
149,112.0,Human
149,1135.0,Human
226,194.0,Human
150,105.0,Human
