"id","user_id","time","duration","startY","endY","speedList"
60,26,476273,186,1001,1688,"{0.53333336,3.375,3.7333333,5.5,5.75,8.2,7.133333,4.7058825,2.8823528,1.3125,0.29411766}"
61,26,478373,132,1292,1688,"{0.8235294,2.2941177,4.1153846,6.3333335,5.1875,3.8823528,2.235294,0.6875}"
62,26,483676,221,1087,388,"{-1.25,-0.4375,-0.7777778,-1.625,-2.8823528,-4.625,-5.2222223,-6.3125,-5.882353,-6,-3.8888888,-2.75,-1,-0.18181819}"
63,26,483232,250,1687,1088,"{-0.3125,-0.5294118,-0.9411765,-1.7058823,-2.5882354,-4.285714,-4.111111,-4.9375,-4.75,-4.117647,-3.2941177,-2.4117646,-1.5625,-0.7058824,-0.16666667}"
64,26,484174,188,387,0,"{-0.71428573,-0.4375,-0.88235295,-1.625,-2.2941177,-3.0588236,-3.875,-4,-3.235294,-2.375,-1.1764706,-0.25}"
65,32,48944,84,120,374,"{3.235294,3.75,5.1764708}"
66,32,48845,67,4,55,"{0.7777778,1.0666667}"
67,32,65745,33,234,256,"{0.5882353,0.75}"
68,32,65194,151,47,228,"{1.3333334,1.8125,1.5294118,1.6875,1.2941177,1.2352941,1,0.5555556,0.375}"
69,32,65145,17,15,28,"{0.7647059}"
70,32,89329,166,5,228,"{0.73333335,1.4117647,1.7647059,2,2,1.8125,1.5294118,1.1875,0.7058824,0.23529412}"
71,32,89745,84,360,570,"{3.1764705,3.125,2.4705882,2.1875,1.6111112}"
72,32,89661,51,232,314,"{0.5294118,2.4117646,1.882353}"
73,32,90111,52,575,645,"{0.5294118,0.7058824,2.7222223}"
74,32,90194,84,704,1026,"{3.3888888,8.166667,4.133333,2.3529413,0.75}"
75,32,91645,84,1029,1254,"{1.0555556,2,1.1875,4.0588236,5.0588236}"
76,32,93778,100,225,0,"{-0.5294118,-1.7058823,-3,-4.125,-2.7777777,-1.4375}"
77,32,93129,115,679,228,"{-0.9375,-2.0625,-4,-7.529412,-8.3529415,-4,-0.0625}"
78,32,92979,33,704,684,"{-1.1875,-0.05882353}"
79,38,20812,150,3,480,"{0.4117647,1,3.0625,4.25,6.4444447,5.9375,3.9411764,2.8125,0.7647059}"
80,38,21430,168,481,768,"{0.3529412,0.7647059,1.4117647,2.2941177,3.25,3.0588236,2.5882354,2,1.25,0.1764706}"
81,38,22886,200,766,576,"{-0.375,-0.5882353,-0.9375,-1.3529412,-1.4705882,-1.4705882,-1.4117647,-1.25,-1.0588236,-0.7647059,-0.47058824,-0.1875}"
82,38,23789,151,282,0,"{-0.47058824,-1.5625,-1.9444444,-3.4,-2.8888888,-2.764706,-2.25,-1.2941177,-0.3529412}"
83,38,23354,184,575,288,"{-0.375,-0.7777778,-1.5,-1.6470588,-2.3125,-2.5882354,-2.4117646,-2.1176472,-1.8125,-1.1111112,-0.5}"
84,38,59764,168,3,384,"{0.3888889,0.625,1.0588236,1.4117647,2.6875,2.764706,5.0588236,4.4117646,3.0588236,1.1875}"
85,43,12283,252,319,689,"{1.25,0.22346368,0.5,0.9411765,1.5337423,2.0496895,2.215909,2.5925925,2.5294118,2.546584,2.235294,1.8452381,1.4465408,0.88235295,0.4790419,0.11904762}"
86,56,166397,283,37,54,"{0.059880238,0.056818184,0.06329114,0.060606062,0.119760476,0.060240965,0.059880238,0.12048193,0.060240965,0.05952381,0.121212125,0.05952381,0.060606062}"
87,56,168030,283,57,157,"{0.12048193,0.1764706,0.24242425,0.30120483,0.41916168,0.42424244,0.4848485,0.5421687,0.5421687,0.53892213,0.4790419,0.48192772,0.41916168,0.35502958,0.24242425,0.121212125,0.11904762}"
88,6,3746,135,1,792,"{0.4117647,1.2941177,14.764706,11.705882,8.8125,6.0555553,3.5625,0.29411766}"
89,6,3746,135,1,792,"{0.4117647,1.2941177,14.764706,11.705882,8.8125,6.0555553,3.5625,0.29411766}"
90,60,46925,1334,153,356,"{}"
91,60,49725,625,438,614,"{}"
92,60,46925,1334,153,356,"{}"
93,60,49725,625,438,614,"{}"
94,60,62462,1346,0,948,"{}"
95,60,69246,821,0,43,"{}"
96,60,71272,926,102,157,"{}"
97,61,17681,330,86,0,"{}"
98,62,29172,6166,28,61,"{}"
99,62,35897,557,97,180,"{}"
100,62,37804,1513,340,492,"{}"
101,62,40367,9264,560,1032,"{}"
102,62,50986,2711,0,1939,"{}"
103,62,55424,1981,1989,0,"{}"
104,63,23047,1000,472,631,"{}"
105,63,21196,1053,102,279,"{}"
106,63,25181,1042,816,985,"{}"
107,63,26839,1285,1106,1242,"{}"
108,63,29166,6230,1380,0,"{}"
109,63,37676,8884,28,536,"{-0.1}"
110,63,49295,14,1444,1443,"{-0.071428575}"
111,63,53235,1334,193,385,"{}"
112,63,52000,316,0,63,"{}"
113,63,55391,1085,429,556,"{}"
114,63,57301,1168,717,848,"{}"
115,63,59582,816,1004,1100,"{}"
116,63,61632,4935,1196,53,"{}"
117,63,68989,792,0,122,"{}"
118,64,20952,10,453,452,"{-0.1}"
119,64,25258,8616,1939,41,"{}"
120,64,42527,13,537,536,"{-0.07692308}"
121,64,46807,18,1444,1443,"{-0.055555556}"
122,64,51154,13,1528,1527,"{-0.07692308}"
123,64,55471,2232,1939,20,"{}"
124,65,14740,13050,41,452,"{-0.11111111}"
125,65,40666,12,537,536,"{-0.083333336}"
126,65,45009,4343,1032,1939,"{}"
127,65,53650,6,537,536,"{-0.16666667}"
128,65,55897,4124,20,211,"{}"
129,65,60335,2746,0,186,"{}"
130,67,15943,12,453,452,"{-0.083333336}"
131,67,20250,4354,948,1527,"{-0.0625}"
132,67,41846,8656,1939,1032,"{}"
133,67,63427,4324,1939,0,"{}"
134,69,14804,4372,948,1527,"{-0.125}"
135,69,23524,4351,0,536,"{-0.1}"
136,69,36508,4307,948,1939,"{}"
137,70,6040,348,236,0,"{}"
138,69,45112,2234,1032,20,"{}"
139,70,12400,47,122,0,"{2.4255319}"
140,69,51434,315,186,0,"{}"
141,70,17765,32,122,0,"{}"
142,70,12486,4944,0,236,"{}"
143,70,23783,51,83,0,"{3}"
144,70,23867,4948,0,236,"{}"
145,70,29154,27,83,0,"{-3.074074}"
146,70,35176,53,2,0,"{4.4150944}"
147,70,40525,32,2,0,"{}"
148,70,35276,4931,0,236,"{}"
149,70,46506,70,62,0,"{4.0465117,-8.740741}"
150,70,51538,333,732,0,"{-2.2142856}"
151,70,57814,40,236,0,"{12.4}"
152,70,57887,4953,0,732,"{}"
153,70,63170,25,236,0,"{-9.44}"
154,71,9726,355,236,0,"{}"
155,71,16085,50,122,0,"{2.28}"
156,71,21453,30,122,0,"{-4.0666666}"
157,71,16169,4948,0,236,"{}"
158,71,27474,51,83,0,"{3}"
159,71,32824,31,83,0,"{}"
160,71,27558,4947,0,236,"{}"
161,71,38914,68,2,0,"{6,-8.137931}"
162,71,43943,333,236,0,"{-0.074074075}"
163,71,50219,43,62,0,"{4.0465117}"
164,71,50295,4953,0,732,"{}"
165,71,55558,23,62,0,"{-2.6956522}"
166,71,61537,39,236,0,"{12.717949}"
167,71,61608,4954,0,732,"{}"
168,71,66887,24,236,0,"{-9.833333}"
169,72,14304,379,113,0,"{}"
170,73,7765,354,236,0,"{}"
171,73,14135,52,122,0,"{2.1923077}"
172,73,14232,4930,0,236,"{}"
173,73,19481,31,122,0,"{}"
174,73,25461,71,83,0,"{3.642857,-8.137931}"
175,73,30488,333,236,0,"{-4.368421}"
176,73,36788,68,2,0,"{5.571429,-9.076923}"
177,73,41818,333,236,0,"{-0.074074075}"
178,73,48100,59,62,0,"{0}"
179,73,53128,333,732,0,"{-3.1}"
180,73,59412,41,236,0,"{12.097561}"
181,73,59485,4954,0,732,"{}"
182,73,64768,22,236,0,"{-10.727273}"
183,74,12245,405,113,0,"{}"
184,75,5012,3068,1195,700,"{}"
185,74,24469,8,453,452,"{-0.125}"
