user_id,duration,average_speedList
85,4319,0.0
86,390,0.0
85,10,-0.1
85,2268,0.0
87,3127,0.0
87,6104,0.0
87,15,-0.06666667
88,398,0.0
87,4329,-0.083333336
87,2267,0.0
89,3073,0.0
89,6083,0.0
89,4328,-0.071428575
89,8833,0.0
89,339,0.0
90,3119,0.0
90,3056,0.0
90,9535,-0.06666667
90,8830,0.0
90,4039,0.0
91,3043,0.0
91,6082,0.0
91,7,-0.14285715
92,20274,-0.11111111
92,5766,0.0
93,18504,-0.125
94,387,0.0
93,5760,0.0
93,3025,0.0
93,8,-0.125
94,305,0.0
95,13993,0.0
95,13919,0.0
96,374,0.0
96,1053,0.0
97,15166,0.0
97,5764,0.0
98,5127,-0.09090909
99,409,0.0
98,5757,0.0
99,8,-0.125
99,3299,0.0
99,919,0.0
99,8381,0.0
99,2039,0.0
100,3116,0.0
100,3050,0.0
101,389,0.0
100,3061,0.0
101,12,-0.083333336
100,6101,0.0
100,2269,0.0
100,310,0.0
101,19631,0.0
101,4599,0.0
101,298,0.0
101,2036,0.0
102,393,0.0
102,5,-0.2
102,4732,0.0
104,338,0.0
105,358,0.0
106,352,0.0
107,349,0.0
108,336,0.0
109,348,0.0
110,360,0.0
111,351,0.0
113,357,0.0
113,1418,0.0
113,1443,0.0
113,1160,0.0
114,724,0.0
114,6350,0.0
114,6161,0.0
114,11870,-0.041666668
114,17,-0.05882353
114,2042,0.0
115,4379,-0.1
115,13,-0.07692308
115,12,-0.083333336
115,13,-0.07692308
115,4299,0.0
115,9,-0.11111111
116,13,-0.07692308
116,8601,0.0
116,4343,0.0
116,4327,-0.083333336
116,4327,-0.083333336
117,417,0.0
117,27,-63.814816
117,360,0.0
117,53,0.4657139999999993
117,383,-0.06896552
117,4010,0.0
117,10057,0.0
117,10057,40.96154
117,34,0.0
118,403,0.0
118,31,51.225807
118,3952,0.0
118,30,-4.5
118,25,65.6
118,45,0.0
118,3983,0.0
118,53,-0.03632400000000047
118,362,0.0
118,9990,0.0
118,23,-0.04347826
119,3104,0.0
119,3074,0.0
119,3099,0.0
119,6121,0.0
119,4100,0.0
120,3103,0.0
120,3074,0.0
120,3064,0.0
120,2282,0.0
120,3064,0.0
121,6233,0.0
121,6124,0.0
121,3071,0.0
121,2296,0.0
121,3082,0.0
122,3116,0.0
122,12212,0.0
122,308,0.0
123,6563,0.0
123,4085,0.0
124,14086,0.0
