user_id,duration,average_speedList
1,101,8.10653251
1,22326,9.477022199999999
1,81,6.3774713400000005
2,108489,-15.558148325000001
2,20,15.15
2,30,4.561086100000001
4,101,3.8344635
4,114,1.319437856666667
4,239,1.5355352999999998
4,251,-1.0306105928571427
4,234,-1.1273468878571429
4,981,1.6200424120338983
4,18,0.44444445
4,20,1.6
4,134,4.84885464375
2,115,7.847152114285714
5,33,8.7996323
5,85,7.829803979999999
5,33,10.351103
9,200,0.8634528640909092
12,183,3.9387391345454548
14,17722,5.9558824
14,333,9.201388825
14,66,9.191176500000001
14,17,-11.764706
14,100,9.191176500000001
14,17,-5.882353
14,16,6.25
14,33,6.0661765
14,34,-5.882353
14,16,-6.25
14,34,5.882353
14,33,-9.007353
14,33,6.0661765
14,33,-6.0661765
14,84,11.764705500000002
14,50,-13.848039
18,200,2.7487650958333334
19,300,0.7463235333333333
19,317,1.0660431673684212
19,66,0.7251838375
19,198,1.1194376333333331
19,151,2.2642974222222225
19,418,0.8133823616
19,200,1.7038058166666668
19,100,5.551402566666667
19,151,3.0235203333333334
20,233,1.28416785
20,217,1.379524858461538
20,234,1.2820377971428571
20,233,0.6704306785714286
20,200,1.4846813908333332
20,248,1.197195006
20,213,0.9265817769230769
20,223,0.891514937857143
20,249,-1.973039217333333
26,232,1.7286122742857142
26,232,-1.7166491700000002
26,235,2.5999825792857143
26,186,3.9472593290909086
26,132,3.1948765
26,221,-3.0596723492857145
26,250,-2.428007291333333
26,188,-1.993653715
32,84,4.0539216
32,67,0.92222225
32,33,0.66911765
32,151,1.2025236222222224
32,17,0.7647059
32,166,1.338039227
32,84,2.51413398
32,51,1.6078431333333334
32,52,1.3191721666666665
32,84,3.7583660200000004
32,84,2.67214056
32,100,-2.2625953
32,115,-3.849264785714286
32,33,-0.623161765
38,150,3.1805101888888885
38,168,1.7147059099999997
38,200,-0.9448529449999999
38,151,-1.8809095933333333
38,184,-1.5594177272727272
38,168,2.2653594999999997
