distance_normalized,displacement_normalized,variance_normalized,velocity_normalized,efficiency_normalized,amplify_normalized
-1.0975078529951998,-1.3419040634660409,-0.05294989564360801,-0.78528106664665,0.3745832891261214,-0.190447438910717
-1.1116412174090036,-1.364155250960588,-0.05290565750372049,-0.5961353299194914,0.37668331025159724,-0.09173517880733671
-1.1226952780414392,-1.3817718175851148,-0.052953327350784486,-0.7563197391708434,0.37598727341109384,-0.1745245460849555
-1.2196101057102833,-1.535458390380371,-0.05300218221002376,-0.47801212614199035,0.38038647181391727,-0.1849511348407492
-1.03801916377197,-1.2469636995371807,-0.052961497515823325,-0.6961507823580269,0.3789051523988804,-0.18493479877504226
-1.037568971272352,-1.2469636995371807,-0.052104835036552534,-0.719233271582791,0.3726982230615093,-0.20044712907162027
-1.134537238975092,-1.4006788885428092,-0.05293637053240588,-0.7906808035131182,0.37473450412618065,-0.18654197866213895
-1.0474050511926691,-1.2909678173008912,-0.05301204159167219,-0.7246877817187881,0.11861473703397343,-0.18493479877504226
-1.1890641236873138,-1.4583116593300705,-0.04996784189409634,-0.8140938661515861,0.8468837795163353,-0.17696266612164802
-1.0627117345656194,-1.2868462030063759,-0.052764392797881136,-0.746256323611313,0.37285534643162066,-0.1543970059717577
-1.0871424330481527,-1.325066220165115,-0.05194228768359204,-0.756213754838028,0.37849662643415793,-0.1842828824745847
-1.0081957039232943,-1.1992925719598275,-0.05301204159167219,-0.5930999189262058,0.38111747819878494,-0.18493479877504226
-1.0995399212396468,-1.3453892501794593,-0.052891097807121076,-0.7597614200575871,0.37180245599102596,-0.15683051843287607
-1.0764358133611678,-1.3083498543705214,-0.05295180509887023,-0.7371313524686415,0.37557633860604034,-0.17268970488725474
-1.2078773774052587,-1.5335530415697658,-0.046773458510607824,-0.9519625141305015,0.07359413585447838,-0.35632798994049725
-1.0126729500950185,-1.2070152853440357,-0.05274132047842517,-0.698505507721862,0.37624906680957426,-0.18067573010031238
-0.9759056532308681,-1.1772905130779723,-0.05301204159167219,-0.6415064533668831,0.1673427907831308,-0.18493479877504226
-1.0974761487782843,-1.3419040634660409,-0.052943146980197815,-0.7727949432555796,0.37404735433286246,-0.1802096680559281
-1.0404857546157207,-1.2799667878599637,-0.05301204159167219,-0.7022364436223966,0.12428026382170383,-0.18493479877504226
-1.0764544493332817,-1.3085730361833003,-0.05290463746343853,-0.7543794800421988,0.3736672820052714,-0.15095523119330811
-1.0783263612327265,-1.3120090692832436,-0.05266829681092581,-0.7578887353478793,0.36905298722212765,-0.12222704992420085
