distance_normalized,displacement_normalized,variance_normalized,velocity_normalized,efficiency_normalized,amplify_normalized
-0.5937554637596353,-0.560008331219025,-0.07558951930748033,-0.018992187681178257,0.36249999713624004,-0.1821719413865523
-0.4191092842646768,-0.2722345805221444,-0.07551543215344106,-0.15714303322925183,0.36240559332774613,-0.18150928061899232
-0.42374984018906026,-0.27983094573968526,-0.07559344289339823,-0.15835010341532252,0.36250476664438025,-0.18289271142502989
-0.4109653559649105,-0.25895894545308,-0.07388639230691896,-0.16531298207989187,0.3621279522648902,-0.1844836932281527
-0.5111240359774673,-0.4238408040374335,-0.07558557931726169,-0.26706603511658705,0.3624744925019468,-0.18132268672457438
-0.5099617003043049,-0.4219349797490682,-0.07558447418649131,-0.2522029560417497,0.3624535305620953,-0.18109152242950893
-0.5490283969238353,-0.48621595512279137,-0.0755994909863587,-0.25538820633741366,0.3626831777143359,-0.18146009926444592
-0.5110804316399467,-0.4238408040374335,-0.0755758343590281,-0.2697171285020261,0.3623193853466058,-0.18134875017766777
-0.5178928570105071,-0.4349818149965378,-0.07558775565579844,-0.2651907614835035,0.3625052580610874,-0.18145883875259172
-0.4237558810922432,-0.27983094573968526,-0.07559452940999795,-0.1982414608222603,0.3625240650957468,-0.20334711682194903
-0.511076938899561,-0.4238408040374335,-0.07557527626642806,-0.22404743513176212,0.36230696190672385,-0.181167325274942
-0.4463904863111528,-0.31721223434265744,-0.0754793806082668,-0.1768452527228968,0.3623680108693123,-0.18266706920365805
-0.5152948952041856,-0.43071834317270474,-0.07558351602846478,-0.22208553070854317,0.36246605342769705,-0.18184477778085978
-0.509705346340141,-0.4219349797490682,-0.07510447661736006,-0.2575430527406343,0.3615432748508033,-0.17314040149628507
-0.5158467042512976,-0.4319037946271504,-0.07510233627638024,-0.2972921232836539,0.3618664735128392,-0.1728308075653634
-0.5563143192693362,-0.49830674289237425,-0.07558663442969345,-0.28509960543844354,0.36249388850790637,-0.18149075315287058
-0.41314990032431154,-0.2624118625257376,-0.07408730956851153,-0.18264011962399712,0.36240902779380835,-0.18193868527332183
-0.5464984007700521,-0.48232994741466517,-0.07497308070844587,-0.2784665397688403,0.36204107936296276,-0.18201989763558618
-0.5111343164963387,-0.4238408040374335,-0.07558788631984092,-0.26707552830487863,0.36251106440753555,-0.18123558056495903
-0.5159690599994032,-0.4319037946271504,-0.07556884873164624,-0.2688453312521033,0.3623043968551821,-0.180575403053751
-0.43254616406566493,-0.2947535063155718,-0.07539471469614495,-0.18547096921848302,0.36167062243991643,-0.19590515381517162
