user_id,duration,interArrivalTime,Type
61,80,407.0,Bot
61,151,508.0,Bot
61,93,499.0,Bot
61,64,464.0,Bot
61,131,948.0,Bot
61,153,418.0,Bot
61,113,464.0,Bot
61,114,350.0,Bot
61,77,530.0,Bot
61,133,533.0,Bot
61,81,331.0,Bot
61,118,473.0,Bot
61,93,525.0,Bot
61,126,579.0,Bot
61,159,565.0,Bot
61,157,415.0,Bot
61,79,453.0,Bot
61,84,1702.0,Bot
61,103,543.0,Bot
61,122,579.0,Bot
61,90,333.0,Bot
61,58,1102.0,Bot
61,106,422.0,Bot
61,145,543.0,Bot
61,135,580.0,Bot
103,134,270.0,Bot
103,126,306.0,Bot
103,97,292.0,Bot
103,149,331.0,Bot
103,55,123.0,Bot
103,107,295.0,Bot
103,75,154.0,Bot
103,145,267.0,Bot
103,110,259.0,Bot
103,150,323.0,Bot
103,70,232.0,Bot
103,66,248.0,Bot
103,116,327.0,Bot
103,112,321.0,Bot
103,72,208.0,Bot
103,84,147.0,Bot
103,91,254.0,Bot
103,77,223.0,Bot
103,152,311.0,Bot
103,151,274.0,Bot
103,111,480.0,Bot
103,85,289.0,Bot
103,86,236.0,Bot
103,146,253.0,Bot
103,81,149.0,Bot
103,62,179.0,Bot
103,56,238.0,Bot
103,139,280.0,Bot
103,108,291.0,Bot
103,143,299.0,Bot
103,112,194.0,Bot
103,62,244.0,Bot
103,77,138.0,Bot
103,110,251.0,Bot
103,134,336.0,Bot
103,100,184.0,Bot
103,110,259.0,Bot
103,142,256.0,Bot
103,89,212.0,Bot
103,128,302.0,Bot
103,149,236.0,Bot
103,76,246.0,Bot
103,96,196.0,Bot
103,122,234.0,Bot
103,62,147.0,Bot
103,135,313.0,Bot
103,115,212.0,Bot
103,128,337.0,Bot
103,100,190.0,Bot
103,92,232.0,Bot
103,106,261.0,Bot
103,71,255.0,Bot
103,131,235.0,Bot
103,59,251.0,Bot
103,84,239.0,Bot
103,136,347.0,Bot
103,127,288.0,Bot
103,91,251.0,Bot
103,119,206.0,Bot
103,79,156.0,Bot
103,73,467.0,Bot
103,143,249.0,Bot
103,84,180.0,Bot
103,72,232.0,Bot
103,57,207.0,Bot
103,131,270.0,Bot
103,120,188.0,Bot
103,114,256.0,Bot
103,98,163.0,Bot
103,59,180.0,Bot
103,99,194.0,Bot
103,155,253.0,Bot
103,92,291.0,Bot
103,66,159.0,Bot
103,153,249.0,Bot
103,56,264.0,Bot
103,131,215.0,Bot
103,99,279.0,Bot
103,57,182.0,Bot
103,94,171.0,Bot
103,142,345.0,Bot
103,66,146.0,Bot
103,148,296.0,Bot
103,60,232.0,Bot
103,93,198.0,Bot
103,84,183.0,Bot
103,152,302.0,Bot
103,118,228.0,Bot
103,146,240.0,Bot
103,59,193.0,Bot
103,90,261.0,Bot
103,150,325.0,Bot
103,153,235.0,Bot
103,69,236.0,Bot
103,70,252.0,Bot
103,66,135.0,Bot
103,127,281.0,Bot
103,118,304.0,Bot
103,68,228.0,Bot
103,142,287.0,Bot
103,88,160.0,Bot
103,107,316.0,Bot
104,96,164.0,Bot
104,147,213.0,Bot
104,268,334.0,Bot
104,173,252.0,Bot
104,285,395.0,Bot
104,235,320.0,Bot
104,110,475.0,Bot
104,129,205.0,Bot
104,245,348.0,Bot
104,303,397.0,Bot
104,114,177.0,Bot
104,151,241.0,Bot
104,242,348.0,Bot
104,237,305.0,Bot
104,125,195.0,Bot
104,109,189.0,Bot
104,179,242.0,Bot
104,216,322.0,Bot
104,286,355.0,Bot
104,195,286.0,Bot
104,162,224.0,Bot
104,86,187.0,Bot
104,95,161.0,Bot
104,295,396.0,Bot
104,236,308.0,Bot
104,117,200.0,Bot
104,127,195.0,Bot
104,254,351.0,Bot
104,182,249.0,Bot
104,58,158.0,Bot
104,79,168.0,Bot
104,301,384.0,Bot
104,289,382.0,Bot
104,271,364.0,Bot
104,275,375.0,Bot
104,119,217.0,Bot
104,193,286.0,Bot
104,87,158.0,Bot
104,82,188.0,Bot
104,147,220.0,Bot
104,194,258.0,Bot
104,149,244.0,Bot
104,225,302.0,Bot
104,229,297.0,Bot
104,213,276.0,Bot
104,90,168.0,Bot
104,215,286.0,Bot
104,283,394.0,Bot
104,211,294.0,Bot
104,99,209.0,Bot
104,306,416.0,Bot
104,96,175.0,Bot
104,288,380.0,Bot
104,259,344.0,Bot
104,68,142.0,Bot
104,160,232.0,Bot
104,165,226.0,Bot
104,260,349.0,Bot
104,221,318.0,Bot
104,222,299.0,Bot
104,80,182.0,Bot
104,136,449.0,Bot
104,169,248.0,Bot
104,270,337.0,Bot
104,131,229.0,Bot
104,161,224.0,Bot
104,285,375.0,Bot
104,154,256.0,Bot
104,186,285.0,Bot
104,187,254.0,Bot
104,181,286.0,Bot
104,270,344.0,Bot
104,139,224.0,Bot
104,209,300.0,Bot
104,171,274.0,Bot
104,94,180.0,Bot
104,285,378.0,Bot
104,299,368.0,Bot
104,148,558.0,Bot
104,193,260.0,Bot
104,142,237.0,Bot
104,239,333.0,Bot
104,186,259.0,Bot
104,246,331.0,Bot
104,80,164.0,Bot
104,201,266.0,Bot
104,241,348.0,Bot
104,110,190.0,Bot
104,266,346.0,Bot
104,208,318.0,Bot
104,149,231.0,Bot
104,73,147.0,Bot
104,305,386.0,Bot
104,84,186.0,Bot
104,275,351.0,Bot
104,274,646.0,Bot
104,64,136.0,Bot
104,254,354.0,Bot
104,156,259.0,Bot
104,79,174.0,Bot
104,259,330.0,Bot
104,86,158.0,Bot
104,187,261.0,Bot
104,297,354.0,Bot
104,156,228.0,Bot
104,117,221.0,Bot
104,297,388.0,Bot
104,290,353.0,Bot
104,295,361.0,Bot
104,70,145.0,Bot
104,109,185.0,Bot
104,229,324.0,Bot
104,163,478.0,Bot
104,158,260.0,Bot
104,281,378.0,Bot
104,177,257.0,Bot
104,221,321.0,Bot
104,241,309.0,Bot
104,110,183.0,Bot
104,279,392.0,Bot
104,67,151.0,Bot
104,138,208.0,Bot
104,139,220.0,Bot
104,228,318.0,Bot
104,71,175.0,Bot
104,110,199.0,Bot
104,247,330.0,Bot
104,290,357.0,Bot
104,234,321.0,Bot
104,241,669.0,Bot
104,161,261.0,Bot
104,208,299.0,Bot
104,88,156.0,Bot
104,297,392.0,Bot
104,131,225.0,Bot
104,245,336.0,Bot
104,88,173.0,Bot
104,284,370.0,Bot
104,276,349.0,Bot
104,227,329.0,Bot
104,111,191.0,Bot
104,165,262.0,Bot
104,126,212.0,Bot
104,58,142.0,Bot
104,263,346.0,Bot
104,214,293.0,Bot
104,152,228.0,Bot
104,205,307.0,Bot
104,168,259.0,Bot
104,191,285.0,Bot
104,245,314.0,Bot
104,200,283.0,Bot
104,222,312.0,Bot
104,194,282.0,Bot
104,172,279.0,Bot
104,223,293.0,Bot
104,157,240.0,Bot
104,235,328.0,Bot
104,293,394.0,Bot
104,87,174.0,Bot
104,144,210.0,Bot
104,269,343.0,Bot
104,267,374.0,Bot
104,163,281.0,Bot
104,207,313.0,Bot
104,132,209.0,Bot
104,192,287.0,Bot
104,244,310.0,Bot
104,185,271.0,Bot
104,255,342.0,Bot
104,239,338.0,Bot
104,260,344.0,Bot
104,83,190.0,Bot
104,263,338.0,Bot
104,62,149.0,Bot
104,192,282.0,Bot
104,87,185.0,Bot
104,173,238.0,Bot
104,277,382.0,Bot
104,181,294.0,Bot
104,111,199.0,Bot
104,122,185.0,Bot
104,171,237.0,Bot
105,94,570.0,Bot
105,115,206.0,Bot
105,153,211.0,Bot
105,59,106.0,Bot
105,141,251.0,Bot
105,115,163.0,Bot
105,105,195.0,Bot
105,83,183.0,Bot
105,69,175.0,Bot
105,102,193.0,Bot
105,120,165.0,Bot
105,93,202.0,Bot
105,118,183.0,Bot
105,129,239.0,Bot
105,56,118.0,Bot
105,63,122.0,Bot
105,137,237.0,Bot
105,86,143.0,Bot
105,57,117.0,Bot
105,148,234.0,Bot
105,142,190.0,Bot
105,70,119.0,Bot
105,138,242.0,Bot
105,120,224.0,Bot
105,111,182.0,Bot
105,78,737.0,Bot
105,120,175.0,Bot
105,110,179.0,Bot
105,120,225.0,Bot
105,96,146.0,Bot
105,153,213.0,Bot
105,113,187.0,Bot
105,112,170.0,Bot
105,116,225.0,Bot
105,119,164.0,Bot
105,118,185.0,Bot
105,93,174.0,Bot
105,81,171.0,Bot
105,81,126.0,Bot
105,59,125.0,Bot
105,98,155.0,Bot
105,118,171.0,Bot
105,144,237.0,Bot
105,137,188.0,Bot
105,130,222.0,Bot
105,95,181.0,Bot
105,57,135.0,Bot
105,87,175.0,Bot
105,104,172.0,Bot
105,83,316.0,Bot
105,71,181.0,Bot
105,148,213.0,Bot
105,150,194.0,Bot
105,110,191.0,Bot
105,99,183.0,Bot
105,77,155.0,Bot
105,87,156.0,Bot
105,78,145.0,Bot
105,134,210.0,Bot
105,114,209.0,Bot
105,126,211.0,Bot
105,58,109.0,Bot
105,146,240.0,Bot
105,91,188.0,Bot
