user_id,duration,average_speedList,Type
70,47,2.4255319,Bot
70,51,3.0,Bot
70,53,4.4150944,Bot
70,40,12.4,Bot
71,50,2.28,Bot
71,51,3.0,Bot
71,43,4.0465117,Bot
71,39,12.717949,Bot
73,52,2.1923077,Bot
73,41,12.097561,Bot
117,53,0.4657139999999993,Bot
117,10057,40.96154,Bot
118,31,51.225807,Bot
118,25,65.6,Bot
127,7833,0.08869585516666667,Bot
128,875,0.25715041899999996,Bot
130,6904,0.84854737,Bot
130,8107,0.43482712631250003,Bot
132,8147,0.604147,Bot
133,5593,0.41567700166666666,Bot
133,18148,0.13330496666666666,Bot
134,3704,0.23387251800000003,Bot
134,17767,0.7143469378,Bot
135,17409,0.20677110333333334,Bot
136,599,0.07178631,Bot
136,18353,0.12632223625,Bot
138,2886,0.12495512020000002,Bot
138,17195,0.21088105999999998,Bot
139,1986,0.35247966750000004,Bot
141,1503,0.4249203133333333,Bot
143,16339,0.35577798,Bot
145,17424,0.49951397999999997,Bot
147,17949,0.15533888375000002,Bot
148,319,0.05956113,Bot
148,17967,0.27729998875,Bot
150,18049,0.135640345,Bot
154,2241,0.3161448365,Bot
154,17354,0.19040996333333335,Bot
156,479,0.16701461,Bot
156,16241,0.37924346,Bot
158,7064,0.4084556920000001,Bot
158,17569,0.31321311025,Bot
160,2636,0.34089215800000006,Bot
160,16253,0.37961164,Bot
161,3491,0.11349902,Bot
163,483,0.24016564,Bot
165,681,0.55783427,Bot
164,4320,0.4062877235,Bot
167,1139,0.21346216,Bot
166,2057,0.190813925,Bot
168,4579,0.07895574975,Bot
169,2027,0.22789971899999997,Bot
170,14823,0.07402484866666666,Bot
172,16268,0.38183594,Bot
173,1052,0.1701521,Bot
174,137,2.3604400500000002,Bot
174,17961,0.14609365666666665,Bot
175,2083,0.0858023355,Bot
176,17171,0.27698893133333335,Bot
178,17494,0.18486872666666665,Bot
179,2295,0.077060263,Bot
182,4701,0.186500152,Bot
183,17628,0.19157346325000002,Bot
185,17182,1.4963061,Bot
186,1047,0.17096466,Bot
189,2955,0.15849044666666667,Bot
192,14393,0.0941270710625,Bot
211,770,0.11558442,Bot
212,3315,0.10311305,Bot
212,59,5.432401500000001,Bot
