user_id,duration,Type
99,2,Bot
98,2,Bot
99,5,Bot
98,1,Bot
98,2,Bot
99,1,Bot
99,4,Bot
98,2,Bot
99,2,Bot
98,3,Bot
99,5,Bot
99,5,Bot
98,1,Bot
98,3,Bot
99,2,Bot
99,3,Bot
99,4,Bot
100,16,Bot
100,2,Bot
100,2,Bot
100,2,Bot
101,28,Bot
100,1,Bot
100,2,Bot
101,5,Bot
100,2,Bot
101,4,Bot
100,3,Bot
100,1,Bot
101,2,Bot
100,2,Bot
100,4,Bot
101,4,Bot
100,2,Bot
101,6,Bot
100,0,Bot
100,1,Bot
101,17,Bot
100,2,Bot
101,3,Bot
101,5,Bot
101,1,Bot
101,3,Bot
102,19,Bot
102,5,Bot
102,2,Bot
102,4,Bot
102,4,Bot
102,3,Bot
102,2,Bot
102,5,Bot
104,16,Bot
104,2,Bot
104,10,Bot
105,16,Bot
105,5,Bot
105,11,Bot
106,16,Bot
106,3,Bot
106,9,Bot
107,17,Bot
107,3,Bot
107,11,Bot
108,14,Bot
108,2,Bot
108,10,Bot
109,15,Bot
109,3,Bot
109,10,Bot
110,15,Bot
110,6,Bot
110,11,Bot
111,16,Bot
111,2,Bot
111,10,Bot
112,0,Bot
112,4,Bot
113,16,Bot
113,3,Bot
113,33,Bot
113,11,Bot
113,6,Bot
114,13,Bot
114,16,Bot
114,1,Bot
114,1,Bot
114,2,Bot
115,4,Bot
115,2,Bot
115,4,Bot
115,5,Bot
115,3,Bot
115,3,Bot
115,3,Bot
115,3,Bot
115,8,Bot
115,2,Bot
115,1,Bot
115,2,Bot
116,6,Bot
116,6,Bot
116,5,Bot
116,3,Bot
116,3,Bot
116,3,Bot
116,2,Bot
116,3,Bot
116,4,Bot
116,4,Bot
116,1,Bot
116,1,Bot
117,43,Bot
117,4,Bot
117,2,Bot
117,3,Bot
117,4,Bot
117,4,Bot
117,3,Bot
117,4,Bot
117,3,Bot
117,4,Bot
117,5,Bot
117,5,Bot
118,40,Bot
118,3,Bot
118,2,Bot
118,3,Bot
118,4,Bot
118,4,Bot
118,4,Bot
118,4,Bot
119,28,Bot
119,1,Bot
119,1,Bot
119,3,Bot
119,1,Bot
119,3,Bot
119,3,Bot
119,2,Bot
119,4,Bot
119,5,Bot
119,3,Bot
119,7,Bot
119,3,Bot
119,2,Bot
120,20,Bot
120,1,Bot
120,4,Bot
120,2,Bot
120,4,Bot
120,1,Bot
120,2,Bot
120,1,Bot
120,4,Bot
120,1,Bot
120,2,Bot
120,4,Bot
120,3,Bot
121,38,Bot
121,5,Bot
121,4,Bot
121,1,Bot
121,1,Bot
121,1,Bot
121,1,Bot
121,1,Bot
121,4,Bot
121,3,Bot
121,5,Bot
121,3,Bot
121,4,Bot
122,27,Bot
122,2,Bot
122,1,Bot
122,3,Bot
122,2,Bot
122,3,Bot
122,3,Bot
122,2,Bot
122,5,Bot
122,3,Bot
123,3,Bot
123,4,Bot
123,4,Bot
123,6,Bot
123,5,Bot
124,26,Bot
124,3,Bot
124,4,Bot
124,4,Bot
124,3,Bot
124,3,Bot
124,3,Bot
124,2,Bot
124,1,Bot
127,4,Bot
127,2,Bot
127,2,Bot
127,1,Bot
128,22,Bot
128,2,Bot
128,1,Bot
128,2,Bot
128,5,Bot
128,2,Bot
129,16,Bot
129,2,Bot
129,2,Bot
129,2,Bot
129,3,Bot
129,3,Bot
132,3,Bot
132,1,Bot
132,1,Bot
132,1,Bot
132,1,Bot
132,1,Bot
133,14,Bot
133,2,Bot
133,1,Bot
133,2,Bot
133,1,Bot
133,2,Bot
134,16,Bot
134,2,Bot
134,2,Bot
134,1,Bot
134,2,Bot
134,2,Bot
135,15,Bot
135,1,Bot
135,2,Bot
135,2,Bot
135,2,Bot
135,2,Bot
136,14,Bot
136,1,Bot
136,2,Bot
136,2,Bot
136,2,Bot
136,2,Bot
137,23,Bot
137,17,Bot
137,3,Bot
137,2,Bot
137,1,Bot
137,2,Bot
137,1,Bot
137,3,Bot
137,12,Bot
137,3,Bot
137,4,Bot
137,2,Bot
137,5,Bot
137,2,Bot
137,2,Bot
137,3,Bot
137,3,Bot
137,3,Bot
137,3,Bot
137,3,Bot
137,10,Bot
138,15,Bot
137,11,Bot
137,2,Bot
137,3,Bot
137,3,Bot
137,4,Bot
138,3,Bot
138,2,Bot
138,2,Bot
138,1,Bot
138,3,Bot
139,17,Bot
140,26,Bot
140,16,Bot
139,2,Bot
140,4,Bot
140,3,Bot
139,2,Bot
140,2,Bot
140,1,Bot
140,1,Bot
139,3,Bot
139,2,Bot
140,4,Bot
140,4,Bot
139,2,Bot
140,3,Bot
140,2,Bot
140,5,Bot
140,4,Bot
140,0,Bot
140,2,Bot
140,3,Bot
140,2,Bot
140,3,Bot
140,2,Bot
140,1,Bot
140,1,Bot
140,3,Bot
140,3,Bot
140,3,Bot
140,14,Bot
140,2,Bot
140,3,Bot
141,15,Bot
141,2,Bot
141,1,Bot
141,2,Bot
141,2,Bot
141,2,Bot
142,10,Bot
142,17,Bot
142,4,Bot
142,2,Bot
143,16,Bot
142,3,Bot
142,0,Bot
143,2,Bot
143,1,Bot
143,1,Bot
143,2,Bot
143,2,Bot
144,16,Bot
144,2,Bot
144,1,Bot
144,2,Bot
144,1,Bot
144,1,Bot
145,14,Bot
145,3,Bot
145,2,Bot
145,2,Bot
145,2,Bot
145,3,Bot
146,15,Bot
146,2,Bot
146,2,Bot
146,2,Bot
146,2,Bot
146,2,Bot
147,17,Bot
147,3,Bot
147,1,Bot
147,1,Bot
147,1,Bot
147,2,Bot
148,16,Bot
149,21,Bot
149,17,Bot
148,1,Bot
149,2,Bot
149,2,Bot
148,1,Bot
149,1,Bot
149,1,Bot
148,2,Bot
149,5,Bot
149,2,Bot
148,1,Bot
148,1,Bot
149,3,Bot
149,13,Bot
149,1,Bot
149,2,Bot
149,2,Bot
149,2,Bot
149,1,Bot
149,2,Bot
149,3,Bot
149,3,Bot
149,3,Bot
149,2,Bot
149,11,Bot
150,15,Bot
150,2,Bot
151,36,Bot
151,17,Bot
150,1,Bot
150,2,Bot
151,4,Bot
151,1,Bot
150,1,Bot
150,2,Bot
151,1,Bot
151,0,Bot
151,1,Bot
151,5,Bot
151,3,Bot
151,4,Bot
151,4,Bot
151,3,Bot
151,2,Bot
151,2,Bot
151,2,Bot
151,1,Bot
151,1,Bot
151,2,Bot
151,9,Bot
151,2,Bot
151,2,Bot
151,1,Bot
151,2,Bot
151,3,Bot
151,2,Bot
151,2,Bot
152,14,Bot
152,0,Bot
152,5,Bot
152,1,Bot
152,1,Bot
152,1,Bot
152,1,Bot
152,1,Bot
152,3,Bot
152,4,Bot
152,3,Bot
152,2,Bot
152,2,Bot
153,13,Bot
153,1,Bot
153,1,Bot
154,17,Bot
153,1,Bot
153,9,Bot
154,1,Bot
153,1,Bot
153,1,Bot
154,2,Bot
153,0,Bot
154,2,Bot
153,6,Bot
154,2,Bot
154,2,Bot
153,3,Bot
153,2,Bot
153,3,Bot
153,3,Bot
155,13,Bot
155,3,Bot
155,2,Bot
155,1,Bot
155,1,Bot
155,2,Bot
155,1,Bot
155,1,Bot
155,4,Bot
155,1,Bot
155,4,Bot
155,3,Bot
155,4,Bot
156,14,Bot
156,1,Bot
156,2,Bot
156,2,Bot
156,2,Bot
156,2,Bot
157,13,Bot
157,1,Bot
157,2,Bot
157,1,Bot
157,0,Bot
157,1,Bot
158,13,Bot
157,5,Bot
157,1,Bot
157,4,Bot
157,3,Bot
158,2,Bot
158,3,Bot
158,1,Bot
158,2,Bot
158,1,Bot
159,12,Bot
160,15,Bot
159,0,Bot
159,1,Bot
159,1,Bot
160,3,Bot
160,1,Bot
159,2,Bot
159,1,Bot
160,1,Bot
159,1,Bot
160,2,Bot
159,1,Bot
160,2,Bot
159,5,Bot
159,4,Bot
159,3,Bot
161,17,Bot
161,1,Bot
161,1,Bot
161,2,Bot
162,13,Bot
161,1,Bot
161,3,Bot
162,1,Bot
162,2,Bot
162,5,Bot
162,1,Bot
162,1,Bot
162,1,Bot
162,1,Bot
162,4,Bot
162,3,Bot
162,3,Bot
162,2,Bot
163,14,Bot
163,2,Bot
163,2,Bot
163,2,Bot
163,2,Bot
163,2,Bot
164,21,Bot
164,2,Bot
164,1,Bot
164,1,Bot
164,1,Bot
164,1,Bot
164,1,Bot
165,16,Bot
164,1,Bot
165,2,Bot
164,2,Bot
164,1,Bot
165,5,Bot
164,6,Bot
164,3,Bot
164,2,Bot
164,5,Bot
164,3,Bot
164,4,Bot
165,4,Bot
166,22,Bot
166,1,Bot
166,6,Bot
166,1,Bot
166,0,Bot
166,1,Bot
167,17,Bot
166,0,Bot
166,1,Bot
167,4,Bot
166,4,Bot
167,5,Bot
166,3,Bot
166,2,Bot
166,2,Bot
167,34,Bot
168,21,Bot
168,1,Bot
168,0,Bot
168,0,Bot
168,1,Bot
168,4,Bot
168,5,Bot
168,1,Bot
168,1,Bot
168,4,Bot
168,3,Bot
168,4,Bot
169,18,Bot
169,4,Bot
169,6,Bot
169,33,Bot
170,24,Bot
170,3,Bot
170,1,Bot
170,2,Bot
170,1,Bot
171,20,Bot
170,1,Bot
170,2,Bot
170,1,Bot
171,3,Bot
171,4,Bot
170,4,Bot
170,4,Bot
171,3,Bot
171,2,Bot
171,4,Bot
170,5,Bot
170,2,Bot
171,3,Bot
171,2,Bot
171,1,Bot
172,16,Bot
173,19,Bot
173,2,Bot
172,2,Bot
173,1,Bot
173,1,Bot
172,2,Bot
172,1,Bot
173,1,Bot
172,1,Bot
173,1,Bot
173,1,Bot
172,2,Bot
173,5,Bot
173,5,Bot
173,3,Bot
174,15,Bot
174,2,Bot
174,2,Bot
174,2,Bot
174,1,Bot
175,23,Bot
174,3,Bot
175,6,Bot
175,3,Bot
175,2,Bot
175,4,Bot
175,1,Bot
175,1,Bot
175,4,Bot
175,4,Bot
175,2,Bot
176,16,Bot
176,2,Bot
176,3,Bot
177,20,Bot
176,2,Bot
177,1,Bot
176,2,Bot
176,2,Bot
177,2,Bot
177,5,Bot
177,1,Bot
177,1,Bot
177,4,Bot
178,14,Bot
179,21,Bot
178,1,Bot
179,2,Bot
178,1,Bot
179,4,Bot
179,1,Bot
178,2,Bot
179,1,Bot
178,1,Bot
178,2,Bot
179,1,Bot
179,1,Bot
179,3,Bot
179,1,Bot
179,2,Bot
180,16,Bot
180,2,Bot
180,1,Bot
180,1,Bot
180,2,Bot
180,2,Bot
181,17,Bot
181,1,Bot
181,1,Bot
181,1,Bot
181,1,Bot
181,1,Bot
181,3,Bot
182,17,Bot
181,2,Bot
181,1,Bot
182,3,Bot
182,1,Bot
182,2,Bot
182,2,Bot
182,3,Bot
183,15,Bot
183,2,Bot
183,1,Bot
184,22,Bot
183,2,Bot
183,2,Bot
184,1,Bot
183,2,Bot
184,2,Bot
184,1,Bot
184,3,Bot
184,0,Bot
184,2,Bot
185,15,Bot
185,2,Bot
185,2,Bot
185,1,Bot
185,2,Bot
185,2,Bot
186,23,Bot
186,23,Bot
187,15,Bot
186,4,Bot
187,2,Bot
187,3,Bot
187,2,Bot
187,2,Bot
187,3,Bot
186,1,Bot
187,4,Bot
187,1,Bot
187,2,Bot
186,1,Bot
186,1,Bot
186,1,Bot
186,1,Bot
186,1,Bot
186,4,Bot
186,3,Bot
186,2,Bot
188,14,Bot
188,2,Bot
188,3,Bot
188,3,Bot
188,1,Bot
188,2,Bot
188,3,Bot
188,3,Bot
188,3,Bot
188,2,Bot
188,6,Bot
188,3,Bot
188,1,Bot
188,2,Bot
188,2,Bot
188,1,Bot
188,2,Bot
190,16,Bot
190,3,Bot
190,2,Bot
190,2,Bot
190,2,Bot
190,2,Bot
190,5,Bot
189,15,Bot
189,15,Bot
189,4,Bot
191,16,Bot
191,3,Bot
191,4,Bot
191,2,Bot
191,2,Bot
191,2,Bot
191,2,Bot
191,3,Bot
191,2,Bot
191,2,Bot
191,3,Bot
191,5,Bot
191,2,Bot
191,2,Bot
191,3,Bot
193,15,Bot
192,27,Bot
193,2,Bot
193,2,Bot
193,2,Bot
192,1,Bot
192,2,Bot
192,1,Bot
193,2,Bot
193,1,Bot
192,2,Bot
192,1,Bot
193,2,Bot
193,3,Bot
193,4,Bot
192,0,Bot
192,1,Bot
192,1,Bot
193,2,Bot
192,2,Bot
193,1,Bot
193,2,Bot
192,4,Bot
192,4,Bot
192,4,Bot
194,2,Bot
194,3,Bot
194,3,Bot
194,2,Bot
194,3,Bot
194,5,Bot
194,2,Bot
194,3,Bot
194,4,Bot
194,6,Bot
194,4,Bot
195,27,Bot
194,1,Bot
195,2,Bot
195,4,Bot
195,5,Bot
195,2,Bot
195,1,Bot
196,14,Bot
195,1,Bot
196,2,Bot
196,2,Bot
196,1,Bot
195,4,Bot
196,2,Bot
196,2,Bot
196,4,Bot
196,3,Bot
196,4,Bot
196,3,Bot
196,4,Bot
196,2,Bot
196,3,Bot
197,17,Bot
198,33,Bot
197,4,Bot
198,3,Bot
198,2,Bot
198,3,Bot
198,1,Bot
198,2,Bot
198,17,Bot
198,3,Bot
198,2,Bot
198,4,Bot
198,4,Bot
198,5,Bot
199,16,Bot
198,2,Bot
199,4,Bot
199,1,Bot
199,2,Bot
199,1,Bot
199,1,Bot
199,2,Bot
200,2,Bot
199,0,Bot
200,2,Bot
200,2,Bot
199,1,Bot
200,3,Bot
199,1,Bot
199,1,Bot
200,4,Bot
199,1,Bot
200,4,Bot
200,3,Bot
200,3,Bot
200,3,Bot
200,3,Bot
200,6,Bot
200,2,Bot
201,15,Bot
201,2,Bot
201,3,Bot
201,2,Bot
201,2,Bot
201,2,Bot
202,25,Bot
202,1,Bot
201,3,Bot
202,1,Bot
201,3,Bot
202,0,Bot
201,4,Bot
202,2,Bot
202,2,Bot
201,16,Bot
202,0,Bot
201,2,Bot
201,4,Bot
202,4,Bot
201,6,Bot
202,0,Bot
202,0,Bot
202,1,Bot
202,1,Bot
202,1,Bot
203,28,Bot
204,16,Bot
203,2,Bot
204,2,Bot
203,2,Bot
204,2,Bot
204,2,Bot
203,1,Bot
204,2,Bot
204,2,Bot
203,3,Bot
203,2,Bot
204,3,Bot
203,1,Bot
204,4,Bot
203,1,Bot
204,2,Bot
203,1,Bot
204,3,Bot
203,0,Bot
204,3,Bot
204,2,Bot
203,2,Bot
204,5,Bot
203,3,Bot
203,0,Bot
205,28,Bot
205,2,Bot
205,2,Bot
205,5,Bot
205,1,Bot
205,1,Bot
205,1,Bot
205,1,Bot
205,0,Bot
205,1,Bot
205,1,Bot
205,1,Bot
205,0,Bot
206,39,Bot
206,1,Bot
206,1,Bot
206,1,Bot
206,4,Bot
206,0,Bot
206,3,Bot
206,0,Bot
206,3,Bot
206,1,Bot
206,5,Bot
206,1,Bot
207,39,Bot
207,1,Bot
207,4,Bot
207,1,Bot
208,37,Bot
209,1,Bot
208,1,Bot
209,3,Bot
209,2,Bot
208,4,Bot
209,2,Bot
209,2,Bot
208,1,Bot
209,2,Bot
208,3,Bot
209,4,Bot
209,3,Bot
208,1,Bot
209,1,Bot
208,4,Bot
209,1,Bot
209,2,Bot
208,1,Bot
208,3,Bot
208,1,Bot
208,5,Bot
208,1,Bot
210,2,Bot
210,2,Bot
210,2,Bot
210,1,Bot
210,2,Bot
210,4,Bot
210,3,Bot
210,3,Bot
210,4,Bot
210,1,Bot
210,2,Bot
211,30,Bot
211,3,Bot
211,1,Bot
211,2,Bot
211,1,Bot
211,2,Bot
212,17,Bot
212,1,Bot
212,3,Bot
212,1,Bot
212,4,Bot
212,0,Bot
212,3,Bot
212,1,Bot
213,2,Bot
212,1,Bot
212,4,Bot
213,2,Bot
213,1,Bot
213,2,Bot
213,2,Bot
214,16,Bot
214,0,Bot
215,16,Bot
214,4,Bot
214,1,Bot
215,3,Bot
214,3,Bot
215,2,Bot
214,1,Bot
215,2,Bot
214,3,Bot
215,1,Bot
215,2,Bot
214,1,Bot
214,4,Bot
214,0,Bot
216,14,Bot
216,1,Bot
216,4,Bot
216,1,Bot
216,3,Bot
216,1,Bot
216,4,Bot
216,1,Bot
216,3,Bot
216,4,Bot
217,26,Bot
217,3,Bot
217,2,Bot
217,2,Bot
218,3,Bot
217,3,Bot
217,4,Bot
218,1,Bot
217,1,Bot
217,8,Bot
218,1,Bot
218,2,Bot
218,4,Bot
217,5,Bot
217,7,Bot
217,4,Bot
217,3,Bot
219,19,Bot
219,4,Bot
219,2,Bot
219,3,Bot
219,1,Bot
219,1,Bot
219,7,Bot
219,4,Bot
219,3,Bot
220,18,Bot
220,3,Bot
220,2,Bot
220,2,Bot
220,2,Bot
220,0,Bot
220,2,Bot
220,2,Bot
220,1,Bot
220,7,Bot
220,3,Bot
220,2,Bot
220,2,Bot
220,2,Bot
221,20,Bot
221,1,Bot
221,3,Bot
221,4,Bot
221,2,Bot
221,1,Bot
221,4,Bot
221,3,Bot
221,4,Bot
221,4,Bot
222,19,Bot
222,2,Bot
222,5,Bot
222,4,Bot
222,2,Bot
222,3,Bot
222,2,Bot
222,2,Bot
222,3,Bot
222,1,Bot
223,42,Bot
223,2,Bot
223,0,Bot
223,3,Bot
223,3,Bot
223,3,Bot
223,3,Bot
