user_id,duration,interArrivalTime,Type
2,187,149.0,Human
2,150,391.0,Human
2,149,239.0,Human
2,112,75.0,Human
2,74,75.0,Human
2,111,414.0,Human
2,39,125.0,Human
2,77,162.0,Human
2,149,237.0,Human
2,112,112.0,Human
2,111,74.0,Human
2,110,171.0,Human
2,149,331.0,Human
2,72,38.0,Human
2,225,224.0,Human
2,149,37.0,Human
2,111,76.0,Human
2,76,573.0,Human
2,73,128.0,Human
2,110,162.0,Human
2,111,490.0,Human
2,301,341.0,Human
2,224,37.0,Human
2,148,111.0,Human
2,186,399.0,Human
2,149,76.0,Human
2,102,37.0,Human
2,148,111.0,Human
2,110,111.0,Human
2,187,150.0,Human
2,112,38.0,Human
2,151,402.0,Human
2,111,138.0,Human
2,111,111.0,Human
2,187,291.0,Human
2,150,112.0,Human
2,147,212.0,Human
2,148,112.0,Human
2,148,535.0,Human
2,112,75.0,Human
2,224,278.0,Human
2,112,75.0,Human
2,224,224.0,Human
2,113,75.0,Human
2,150,290.0,Human
2,148,111.0,Human
2,152,254.0,Human
2,186,200.0,Human
2,74,37.0,Human
2,152,237.0,Human
2,186,187.0,Human
2,112,36.0,Human
2,186,245.0,Human
2,112,75.0,Human
2,149,270.0,Human
2,112,112.0,Human
2,100,112.0,Human
2,185,186.0,Human
2,1084,1290.0,Human
2,1045,1229.0,Human
2,148,147.0,Human
2,113,75.0,Human
2,186,186.0,Human
2,151,727.0,Human
2,112,224.0,Human
2,112,186.0,Human
2,111,75.0,Human
2,187,187.0,Human
2,112,36.0,Human
2,150,233.0,Human
2,113,138.0,Human
2,111,111.0,Human
2,149,75.0,Human
2,295,1295.0,Human
3,74,3042.0,Human
3,148,570.0,Human
3,262,2696.0,Human
3,186,974.0,Human
3,114,1199.0,Human
3,111,111.0,Human
3,112,1658.0,Human
3,150,4409.0,Human
3,149,2385.0,Human
3,185,1902.0,Human
3,187,4297.0,Human
3,187,731.0,Human
3,110,773.0,Human
3,150,1252.0,Human
3,148,810.0,Human
3,151,167.0,Human
3,187,1836.0,Human
3,187,2152.0,Human
3,150,299.0,Human
3,188,807.0,Human
3,111,1525.0,Human
3,150,1192.0,Human
3,186,261.0,Human
3,113,669.0,Human
3,111,237.0,Human
3,150,4113.0,Human
4,103,126.0,Human
4,110,491.0,Human
4,118,125.0,Human
4,72,89.0,Human
4,117,2199.0,Human
4,108,159.0,Human
4,100,102.0,Human
4,67,99.0,Human
4,118,107.0,Human
4,45,490.0,Human
4,48,129.0,Human
4,45,88.0,Human
4,97,61.0,Human
4,91,179.0,Human
4,126,151.0,Human
4,98,80.0,Human
4,112,176.0,Human
4,119,129.0,Human
4,100,303.0,Human
4,59,61.0,Human
4,106,134.0,Human
4,68,49.0,Human
4,67,134.0,Human
4,71,163.0,Human
4,91,281.0,Human
4,117,153.0,Human
4,74,355.0,Human
4,104,162.0,Human
4,64,66.0,Human
4,10,111.0,Human
4,100,208.0,Human
4,76,441.0,Human
4,72,94.0,Human
4,109,180.0,Human
4,49,230.0,Human
4,105,70.0,Human
4,103,126.0,Human
4,108,430.0,Human
4,115,126.0,Human
4,115,1694.0,Human
4,73,102.0,Human
4,75,139.0,Human
4,136,297.0,Human
