user_id,duration,Type
3,80,Human
3,88,Human
3,88,Human
3,88,Human
3,80,Human
3,88,Human
3,88,Human
3,88,Human
3,88,Human
3,88,Human
3,80,Human
3,88,Human
3,80,Human
3,88,Human
3,88,Human
3,80,Human
3,88,Human
3,88,Human
3,88,Human
3,88,Human
3,88,Human
3,80,Human
3,88,Human
6,104,Human
6,96,Human
6,97,Human
6,112,Human
6,113,Human
6,120,Human
6,120,Human
6,180,Human
6,97,Human
6,112,Human
6,127,Human
